"","RegimenClara","Edad","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","Vol.comercial7a20","costes.fijos","costes.variables","ing.fijos","E1_VCC20","E1_VCC7","E3_VCC20","E3_VCC7","turno","costes.var.tot","costes.tot","ingresos.Esc.1","ingresos.Esc.2","renta.Esc.1","renta.Esc.2","tiempo"
"7","M2",1,"zona costera","7",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0
"40","M2",3,"zona costera","7",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2
"17","M2",14,"zona costera","7",1000,0,0.754,0.754,0,10.56,0,20,12,24,18,40,7.96224,7.96224,9.048,13.572,1.08576,5.60976,11
"23","M2",22,"zona costera","7",700,0,6.717,6.717,0,10.56,0,20,12,24,18,40,70.93152,70.93152,80.604,120.906,9.67247999999999,49.97448,8
"46","M2",30,"zona costera","7",300,5.55,42.877,37.327,0,10.56,0,30.72,12,40.12,18,40,452.78112,452.78112,618.42,894.552,165.63888,441.77088,8
"60","M2",40,"zona costera","7",0,96.196,120.552,24.356,0,10.56,0,44.5,12,57.75,18,40,1273.02912,1273.02912,4572.994,5993.727,3299.96488,4720.69788,10
"8","M2",1,"zona costera","11",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0
"36","M2",3,"zona costera","11",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2
"14","M2",14,"zona costera","11",1000,0,4.755,4.755,0,10.56,0,20,12,24,18,40,50.2128,50.2128,57.06,85.59,6.8472,35.3772,11
"27","M2",22,"zona costera","11",700,0,26.476,26.476,0,10.56,0,20,12,24,18,40,279.58656,279.58656,317.712,476.568,38.12544,196.98144,8
"48","M2",30,"zona costera","11",300,51.839,105.44,53.601,0,10.56,0,30.72,12,40.12,18,40,1113.4464,1113.4464,2235.70608,3044.59868,1122.25968,1931.15228,8
"57","M2",40,"zona costera","11",0,230.851,256.221,25.37,0,10.56,0,44.5,12,57.75,18,40,2705.69376,2705.69376,10577.3095,13788.30525,7871.61574,11082.61149,10
"5","M2",1,"zona costera","16",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0
"37","M2",3,"zona costera","16",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2
"18","M2",14,"zona costera","16",1000,0,17.457,17.457,0,10.56,0,20,12,24,18,40,184.34592,184.34592,209.484,314.226,25.13808,129.88008,11
"30","M2",22,"zona costera","16",700,10.15,59.396,49.246,0,10.56,0,20,12,24,18,40,627.22176,627.22176,793.952,1130.028,166.73024,502.80624,8
"50","M2",30,"zona costera","16",300,150.42,209.939,59.519,0,10.56,0,30.72,12,40.12,18,40,2216.95584,2216.95584,5335.1304,7106.1924,3118.17456,4889.23656,8
"58","M2",40,"zona costera","16",0,447.465,472.328,24.863,0,10.56,0,44.5,12,57.75,18,40,4987.78368,4987.78368,20210.5485,26288.63775,15222.76482,21300.85407,10
"9","M2",1,"zona costera","21",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0
"38","M2",3,"zona costera","21",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2
"20","M2",14,"zona costera","21",1000,3.179,38.584,35.405,0,10.56,0,20,12,24,18,40,407.44704,407.44704,488.44,713.586,80.9929599999999,306.13896,11
"25","M2",22,"zona costera","21",700,60.511,117.319,56.808,0,10.56,0,20,12,24,18,40,1238.88864,1238.88864,1891.916,2474.808,653.02736,1235.91936,8
"49","M2",30,"zona costera","21",300,296.238,354.15,57.912,0,10.56,0,30.72,12,40.12,18,40,3739.824,3739.824,9795.37536,12927.48456,6055.55136,9187.66056,8
"51","M2",40,"zona costera","21",0,685.217,710.291,25.0740000000001,0,10.56,0,44.5,12,57.75,18,40,7500.67296,7500.67296,30793.0445,40022.61375,23292.37154,32521.94079,10
"2","M2",1,"zona costera","26",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0
"39","M2",3,"zona costera","26",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2
"16","M2",14,"zona costera","26",1000,14.487,66.111,51.624,0,10.56,0,20,12,24,18,40,698.13216,698.13216,909.228,1276.92,211.09584,578.78784,11
"22","M2",22,"zona costera","26",700,126.969,185.471,58.502,0,10.56,0,20,12,24,18,40,1958.57376,1958.57376,3241.404,4100.292,1282.83024,2141.71824,8
"42","M2",30,"zona costera","26",300,460.073,515.36,55.287,0,10.56,0,30.72,12,40.12,18,40,5442.2016,5442.2016,14796.88656,19453.29476,9354.68496,14011.09316,8
"55","M2",40,"zona costera","26",0,967.052,991.899,24.847,0,10.56,0,44.5,12,57.75,18,40,10474.45344,10474.45344,43331.978,56294.499,32857.52456,45820.04556,10
"4","M2",1,"zona interior","7",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0
"35","M2",3,"zona interior","7",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2
"13","M2",14,"zona interior","7",1000,0,0.695,0.695,0,10.56,0,20,12,24,18,40,7.3392,7.3392,8.34,12.51,1.0008,5.1708,11
"24","M2",22,"zona interior","7",700,0,6.315,6.315,0,10.56,0,20,12,24,18,40,66.6864,66.6864,75.78,113.67,9.0936,46.9836,8
"47","M2",30,"zona interior","7",300,5.506,42.315,36.809,0,10.56,0,30.72,12,40.12,18,40,446.8464,446.8464,610.85232,883.46272,164.00592,436.61632,8
"53","M2",40,"zona interior","7",0,98.359,121.591,23.232,0,10.56,0,44.5,12,57.75,18,40,1284.00096,1284.00096,4655.7595,6098.40825,3371.75854,4814.40729,10
"1","M2",1,"zona interior","11",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0
