"","RegimenClara","Zona","Calidad","turno","RentaCap2pcEsc1","RentaCap2pcEsc2","RentaCap4pcEsc1","RentaCap4pcEsc2","VES.Cap2pcEsc1","VES.Cap2pcEsc2","VES.Cap4pcEsc1","VES.Cap4pcEsc2"
"1","M2","zona costera","7",40,1932.27700735205,3754.7450983532,-70.8761721537346,1852.78675323832,1599.5145404167,3108.13064458311,-18.6466160253934,487.444540453358
"2","M2","zona costera","11",40,7720.32241601618,12191.9818364987,5990.42105447632,10799.6871240649,6390.78554168861,10092.3688217457,1576.00330038939,2841.25980392991
"3","M2","zona costera","16",40,17718.7682104605,26611.0486019593,16607.2523687132,26278.1683638656,14667.3728886021,22028.2904638497,4369.15607525346,6913.45060606271
"4","M2","zona costera","21",40,30157.0414638967,44413.9110580276,30164.8990137726,45835.7977292514,24963.6186395212,36765.2755085263,7935.99981859275,12058.8132020038
"5","M2","zona costera","26",40,44861.0500493083,65341.7126787175,46250.1470698002,68864.6541514507,37135.4115270265,54089.0457877794,12167.82322355,18117.4113198205
"6","M2","zona interior","7",40,2001.11114143319,3837.16485172325,-2.90794555857001,1931.59017782082,1656.4945686015,3176.35667709882,-0.765043351040311,508.176715386405
"7","M2","zona interior","11",40,8311.54959508564,13004.846143685,6591.03967309322,11617.5543961641,6880.19594506917,10765.2476449078,1734.01839091599,3056.43024159818
"8","M2","zona interior","16",40,20528.2752059852,30549.7302774363,19564.9808750147,30412.0922074937,16993.0473512416,25288.6814875113,5147.29668426854,8001.03319197259
"9","M2","zona interior","21",40,36091.526718982,52781.0185405824,36354.8964859257,54570.2508646708,29876.1106990347,43691.4615722502,9564.50912650284,14356.7363101351
"10","M2","zona interior","26",40,54851.0058447919,79469.0958589226,56745.4986739008,83739.6618793494,45404.9709598603,65783.5154361777,14929.0162375952,22030.8359454515
"11","M4","zona costera","7",25,-919.49797327928,-505.878744133556,-1754.47912875687,-1337.0743890684,-1435.35649248425,-789.687808894532,-1053.21218873303,-802.644511825797
"12","M4","zona costera","11",25,262.498338759541,1317.43076392468,-533.718561760683,544.381501425877,409.765660995533,2056.53830171458,-320.390756085939,326.791708846811
"13","M4","zona costera","16",25,2741.21927348185,4936.12492262477,2076.90429476317,4359.6823809726,4279.10337581578,7705.39920836869,1246.76371592202,2617.11327731689
"14","M4","zona costera","21",25,6794.16754230865,10605.6718885613,6369.15221486267,10353.3129393452,10605.8444676054,16555.6863035961,3823.39614911368,6215.08412540191
