"","RegimenClara","Edad","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","Vol.comercial7a20","costes.fijos","costes.variables","ing.fijos","E1_VCC20","E1_VCC7","E3_VCC20","E3_VCC7","turno","costes.var.tot","costes.tot","ingresos.Esc.1","ingresos.Esc.2","renta.Esc.1","renta.Esc.2","tiempo","renta.ant.act.Esc1.Int1","renta.act.Esc1.Int1","renta.ant.act.Esc1.Int2","renta.act.Esc1.Int2","renta.ant.act.Esc1.Int3","renta.act.Esc1.Int3","renta.ant.act.Esc2.Int1","renta.act.Esc2.Int1","renta.ant.act.Esc2.Int2","renta.act.Esc2.Int2","renta.ant.act.Esc2.Int3","renta.act.Esc2.Int3"
"7","M2",1,"zona costera","7",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"40","M2",3,"zona costera","7",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"17","M2",14,"zona costera","7",1000,0,0.754,0.754,0,10.56,0,20,12,24,18,40,7.96224,7.96224,9.048,13.572,1.08576,5.60976,11,-947.302018079718,-946.216258079718,-1117.04904899721,-1115.96328899721,-1312.41537208973,-1311.32961208973,-947.302018079718,-941.692258079718,-1117.04904899721,-1111.43928899721,-1312.41537208973,-1306.80561208973
"23","M2",22,"zona costera","7",700,0,6.717,6.717,0,10.56,0,20,12,24,18,40,70.93152,70.93152,80.604,120.906,9.67247999999999,49.97448,8,-1108.64315523596,-1098.97067523596,-1413.66890642859,-1403.99642642859,-1794.64512198596,-1784.97264198596,-1103.34256819631,-1053.36808819631,-1407.93803858039,-1357.96355858039,-1788.45371560193,-1738.47923560193
"46","M2",30,"zona costera","7",300,5.55,42.877,37.327,0,10.56,0,30.72,12,40.12,18,40,452.78112,452.78112,618.42,894.552,165.63888,441.77088,8,-1287.61930108661,-1121.98042108661,-1778.54066737487,-1612.90178737487,-2442.85831364212,-2277.21943364212,-1234.18860218363,-792.417722183626,-1720.2276076243,-1278.4567276243,-2379.22887661701,-1937.45799661701
"60","M2",40,"zona costera","7",0,96.196,120.552,24.356,0,10.56,0,44.5,12,57.75,18,40,1273.02912,1273.02912,4572.994,5993.727,3299.96488,4720.69788,10,-1367.68787264795,1932.27700735205,-2167.6051303265,1132.3597496735,-3370.84105215373,-70.8761721537339,-965.952781646796,3754.7450983532,-1718.13893653699,3002.55894346301,-2867.91112676168,1852.78675323832
"8","M2",1,"zona costera","11",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"36","M2",3,"zona costera","11",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"14","M2",14,"zona costera","11",1000,0,4.755,4.755,0,10.56,0,20,12,24,18,40,50.2128,50.2128,57.06,85.59,6.8472,35.3772,11,-947.302018079718,-940.454818079718,-1117.04904899721,-1110.20184899721,-1312.41537208973,-1305.56817208973,-947.302018079718,-911.924818079718,-1117.04904899721,-1081.67184899721,-1312.41537208973,-1277.03817208973
"27","M2",22,"zona costera","11",700,0,26.476,26.476,0,10.56,0,20,12,24,18,40,279.58656,279.58656,317.712,476.568,38.12544,196.98144,8,-1101.89271001188,-1063.76727001188,-1406.37048661088,-1368.24504661088,-1786.76019351619,-1748.63475351619,-1068.46526787189,-871.483827871886,-1370.22953618889,-1173.24809618889,-1747.71491850813,-1550.73347850813
"48","M2",30,"zona costera","11",300,51.839,105.44,53.601,0,10.56,0,30.72,12,40.12,18,40,1113.4464,1113.4464,2235.70608,3044.59868,1122.25968,1931.15228,8,-1246.37290111259,-124.113221112591,-1733.25188905347,-610.992209053471,-2393.12740412532,-1270.86772412532,-1021.08220231786,910.070077682141,-1486.23558629707,444.916693702929,-2122.28584411354,-191.133564113539
"57","M2",40,"zona costera","11",0,230.851,256.221,25.37,0,10.56,0,44.5,12,57.75,18,40,2705.69376,2705.69376,10577.3095,13788.30525,7871.61574,11082.61149,10,-151.293323983823,7720.32241601618,-821.122437398607,7050.49330260139,-1881.19468552368,5990.42105447632,1109.37034649872,12191.9818364987,597.930832110998,11680.542322111,-282.92436593514,10799.6871240649
"5","M2",1,"zona costera","16",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"37","M2",3,"zona costera","16",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"18","M2",14,"zona costera","16",1000,0,17.457,17.457,0,10.56,0,20,12,24,18,40,184.34592,184.34592,209.484,314.226,25.13808,129.88008,11,-947.302018079718,-922.163938079718,-1117.04904899721,-1091.91096899721,-1312.41537208973,-1287.27729208973,-947.302018079718,-817.421938079718,-1117.04904899721,-987.168968997213,-1312.41537208973,-1182.53529208973
"30","M2",22,"zona costera","16",700,10.15,59.396,49.246,0,10.56,0,20,12,24,18,40,627.22176,627.22176,793.952,1130.028,166.73024,502.80624,8,-1080.46202887309,-913.731788873094,-1383.20014706463,-1216.46990706463,-1761.72786124352,-1594.99762124352,-957.740081988155,-454.933841988155,-1250.51611519993,-747.70987519993,-1618.38120176597,-1115.57496176597
"50","M2",30,"zona costera","16",300,150.42,209.939,59.519,0,10.56,0,30.72,12,40.12,18,40,2216.95584,2216.95584,5335.1304,7106.1924,3118.17456,4889.23656,8,-1070.58242215314,2047.59213784686,-1540.98768317785,1577.18687682215,-2182.86437990391,935.31018009609,-533.027503700824,4356.20905629918,-947.176499461339,3942.06006053866,-1526.74136607995,3362.49519392005
"58","M2",40,"zona costera","16",0,447.465,472.328,24.863,0,10.56,0,44.5,12,57.75,18,40,4987.78368,4987.78368,20210.5485,26288.63775,15222.76482,21300.85407,10,2496.00339046045,17718.7682104605,2119.60727704789,17342.3720970479,1384.48754871318,16607.2523687132,5310.19453195932,26611.0486019593,5297.79908371619,26598.6531537162,4977.31429386556,26278.1683638656
"9","M2",1,"zona costera","21",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"38","M2",3,"zona costera","21",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"20","M2",14,"zona costera","21",1000,3.179,38.584,35.405,0,10.56,0,20,12,24,18,40,407.44704,407.44704,488.44,713.586,80.9929599999999,306.13896,11,-947.302018079718,-866.309058079718,-1117.04904899721,-1036.05608899721,-1312.41537208973,-1231.42241208973,-947.302018079718,-641.163058079718,-1117.04904899721,-810.910088997214,-1312.41537208973,-1006.27641208973
