"","Edad","RegimenClara","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","variable","Renta"
"1",1,"M2","zona costera","7",1250,0,0,"renta.act.Esc1.Int1",0
"2",3,"M2","zona costera","7",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"3",14,"M2","zona costera","7",1000,0,0.754,"renta.act.Esc1.Int1",-947.302018079718
"4",22,"M2","zona costera","7",700,0,6.717,"renta.act.Esc1.Int1",-1108.64315523596
"5",30,"M2","zona costera","7",300,5.55,42.877,"renta.act.Esc1.Int1",-1287.61930108661
"6",40,"M2","zona costera","7",0,96.196,120.552,"renta.act.Esc1.Int1",-1367.68787264795
"7",1,"M2","zona costera","11",1250,0,0,"renta.act.Esc1.Int1",0
"8",3,"M2","zona costera","11",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"9",14,"M2","zona costera","11",1000,0,4.755,"renta.act.Esc1.Int1",-947.302018079718
"10",22,"M2","zona costera","11",700,0,26.476,"renta.act.Esc1.Int1",-1101.89271001188
"11",30,"M2","zona costera","11",300,51.839,105.44,"renta.act.Esc1.Int1",-1246.37290111259
"12",40,"M2","zona costera","11",0,230.851,256.221,"renta.act.Esc1.Int1",-151.293323983823
"13",1,"M2","zona costera","16",1250,0,0,"renta.act.Esc1.Int1",0
"14",3,"M2","zona costera","16",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"15",14,"M2","zona costera","16",1000,0,17.457,"renta.act.Esc1.Int1",-947.302018079718
"16",22,"M2","zona costera","16",700,10.15,59.396,"renta.act.Esc1.Int1",-1080.46202887309
"17",30,"M2","zona costera","16",300,150.42,209.939,"renta.act.Esc1.Int1",-1070.58242215314
"18",40,"M2","zona costera","16",0,447.465,472.328,"renta.act.Esc1.Int1",2496.00339046045
"19",1,"M2","zona costera","21",1250,0,0,"renta.act.Esc1.Int1",0
"20",3,"M2","zona costera","21",1250,0,0,"renta.act.Esc1.Int1",-2288.88
