Edad	Dm	thinning	varname	zone	cal
1	-2.90901449194054e-06	M8	Dm	0	7
2	0.00716750441566814	M8	Dm	0	7
3	0.10580099213382	M8	Dm	0	7
4	0.41194875127191	M8	Dm	0	7
5	0.944930404192607	M8	Dm	0	7
6	1.65896178926949	M8	Dm	0	7
7	2.49497589724547	M8	Dm	0	7
8	3.40226272128505	M8	Dm	0	7
9	4.34298301975058	M8	Dm	0	7
10	5.29075260038399	M8	Dm	0	7
11	6.22794986529676	M8	Dm	0	7
12	7.14324604247517	M8	Dm	0	7
13	8.02969314485453	M8	Dm	0	7
14	8.88333901616295	M8	Dm	0	7
15	9.7022540137478	M8	Dm	0	7
16	10.4858567549636	M8	Dm	0	7
17	11.2344502974549	M8	Dm	0	7
18	11.9489042708851	M8	Dm	0	7
19	12.6304376484068	M8	Dm	0	7
20	13.2804708097675	M8	Dm	0	7
21	13.9005253401326	M8	Dm	0	7
22	14.4921567583254	M8	Dm	0	7
23	15.0569099884503	M8	Dm	0	7
24	15.5962905471136	M8	Dm	0	7
25	16.1117465808918	M8	Dm	0	7
26	16.6046583742811	M8	Dm	0	7
27	17.0763329732235	M8	Dm	0	7
28	17.5280022795536	M8	Dm	0	7
29	17.9608234661542	M8	Dm	0	7
30	18.3758809082955	M8	Dm	0	7
31	18.7741890692464	M8	Dm	0	7
32	19.1566959490807	M8	Dm	0	7
33	19.5242868261916	M8	Dm	0	7
34	19.8777881062955	M8	Dm	0	7
35	20.217971154031	M8	Dm	0	7
35	0	M8	Dm	0	7
