Edad	Dq	thinning	varname	zone	cal
1	0.00329609683238945	M8	Dq	0	16
2	0.271361147193142	M8	Dq	0	16
3	1.29501793751775	M8	Dq	0	16
4	2.91493015840004	M8	Dq	0	16
5	4.80754841956985	M8	Dq	0	16
6	6.76031059693667	M8	Dq	0	16
7	8.66223794596056	M8	Dq	0	16
8	10.4622984961396	M8	Dq	0	16
9	12.1412413963212	M8	Dq	0	16
10	13.6959009498105	M8	Dq	0	16
11	15.1308828600402	M8	Dq	0	16
12	16.454231242717	M8	Dq	0	16
13	17.6751954954493	M8	Dq	0	16
14	18.8031031945067	M8	Dq	0	16
15	19.846817118877	M8	Dq	0	16
16	20.8145005500813	M8	Dq	0	16
17	21.7135436705032	M8	Dq	0	16
18	22.5505719230527	M8	Dq	0	16
19	23.3314936417901	M8	Dq	0	16
20	24.0615640204579	M8	Dq	0	16
21	24.7454532944637	M8	Dq	0	16
22	25.3873129541822	M8	Dq	0	16
23	25.9908370712854	M8	Dq	0	16
24	26.5593175955242	M8	Dq	0	16
25	27.0956934235974	M8	Dq	0	16
26	27.6025935208848	M8	Dq	0	16
27	28.0823745972311	M8	Dq	0	16
28	28.537153916572	M8	Dq	0	16
29	28.9688378233737	M8	Dq	0	16
30	29.3791465342078	M8	Dq	0	16
31	29.7696356913908	M8	Dq	0	16
32	30.1417151190787	M8	Dq	0	16
33	30.4966651666471	M8	Dq	0	16
34	30.8356509726411	M8	Dq	0	16
35	31.1597349362976	M8	Dq	0	16
35	0	M8	Dq	0	16
