Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	1.4630892019658e-10	MG2	AB	1	7
2	4.80691826857653e-05	MG2	AB	1	7
3	0.00433051374247095	MG2	AB	1	7
4	0.0448002943868661	MG2	AB	1	7
5	0.189265459025631	MG2	AB	1	7
6	0.505150897363187	MG2	AB	1	7
7	1.03152959788045	MG2	AB	1	7
8	1.77674572171629	MG2	AB	1	7
9	2.72753793331635	MG2	AB	1	7
10	3.85894934995874	MG2	AB	1	7
11	5.14153891667739	MG2	AB	1	7
12	6.54575974333776	MG2	AB	1	7
13	8.044269447316	MG2	AB	1	7
14	9.6129379366629	MG2	AB	1	7
15	11.2311071415935	MG2	AB	1	7
16	12.8814566419569	MG2	AB	1	7
17	14.5496855523258	MG2	AB	1	7
17	12.8349767862411	MG2	AB	1	7
18	14.3803686822634	MG2	AB	1	7
19	15.9297845912705	MG2	AB	1	7
20	17.4755442366692	MG2	AB	1	7
21	19.0114531985458	MG2	AB	1	7
22	20.5325634712112	MG2	AB	1	7
23	22.0349658730112	MG2	AB	1	7
24	23.5156128230127	MG2	AB	1	7
25	24.9721686002405	MG2	AB	1	7
25	15.1094898674401	MG2	AB	1	7
26	16.1704759497274	MG2	AB	1	7
27	17.2236268236195	MG2	AB	1	7
28	18.2671029335978	MG2	AB	1	7
29	19.2993917318078	MG2	AB	1	7
30	20.319261598394	MG2	AB	1	7
31	21.3257217127209	MG2	AB	1	7
32	22.3179872424476	MG2	AB	1	7
33	23.2954492326209	MG2	AB	1	7
34	24.2576486158906	MG2	AB	1	7
35	25.2042538154389	MG2	AB	1	7
35	0	MG2	AB	1	7
