Edad	Dm	thinning	varname	zone	cal
1	0.00328521330805359	MG2	Dm	0	16
2	0.26867694740388	MG2	Dm	0	16
3	1.27798717832723	MG2	Dm	0	16
4	2.87159927852685	MG2	Dm	0	16
5	4.73101439182436	MG2	Dm	0	16
6	6.64765873434531	MG2	Dm	0	16
7	8.51282867783241	MG2	Dm	0	16
8	10.276649902272	MG2	Dm	0	16
9	11.9204141726117	MG2	Dm	0	16
10	13.4411789293886	MG2	Dm	0	16
11	14.8436123624529	MG2	Dm	0	16
12	16.1357432846716	MG2	Dm	0	16
13	17.3267706422558	MG2	Dm	0	16
14	18.4259580352873	MG2	Dm	0	16
15	19.4421014186054	MG2	Dm	0	16
16	20.3832993966228	MG2	Dm	0	16
17	21.256881697189	MG2	Dm	0	16
17	22.4767198095804	MG2	Dm	0	16
18	23.3860067786245	MG2	Dm	0	16
19	24.2353468989112	MG2	Dm	0	16
20	25.0301767415354	MG2	Dm	0	16
21	25.7753646826373	MG2	Dm	0	16
22	26.4752660550783	MG2	Dm	0	16
23	27.1337773302794	MG2	Dm	0	16
24	27.7543869172342	MG2	Dm	0	16
25	28.3402215213896	MG2	Dm	0	16
25	32.9339564434483	MG2	Dm	0	16
26	33.7788193132318	MG2	Dm	0	16
27	34.5835560162829	MG2	Dm	0	16
28	35.3508561157942	MG2	Dm	0	16
29	36.0831941227295	MG2	Dm	0	16
30	36.7828468104	MG2	Dm	0	16
31	37.451909732703	MG2	Dm	0	16
32	38.0923127263425	MG2	Dm	0	16
33	38.7058342965276	MG2	Dm	0	16
34	39.2941148616294	MG2	Dm	0	16
35	39.8586688795177	MG2	Dm	0	16
35	0	MG2	Dm	0	16
