Edad	Dq	thinning	varname	zone	cal
1	0.401861644080159	MG2	Dq	1	26
2	3.60595940313138	MG2	Dq	1	26
3	7.84645788276395	MG2	Dq	1	26
4	11.7479330825364	MG2	Dq	1	26
5	15.0681995960214	MG2	Dq	1	26
6	17.852934113012	MG2	Dq	1	26
7	20.1962103539853	MG2	Dq	1	26
8	22.1851132010654	MG2	Dq	1	26
9	23.8900291274428	MG2	Dq	1	26
10	25.3657965449226	MG2	Dq	1	26
11	26.6548493486039	MG2	Dq	1	26
12	27.7901626633983	MG2	Dq	1	26
13	28.797582186916	MG2	Dq	1	26
14	29.6975720060181	MG2	Dq	1	26
15	30.5065054234446	MG2	Dq	1	26
16	31.2376171106224	MG2	Dq	1	26
17	31.9017091601337	MG2	Dq	1	26
17	33.7588506913372	MG2	Dq	1	26
18	34.4684852466432	MG2	Dq	1	26
19	35.1199376526923	MG2	Dq	1	26
20	35.7201500431999	MG2	Dq	1	26
21	36.2750037847669	MG2	Dq	1	26
22	36.7895132720753	MG2	Dq	1	26
23	37.2679791897873	MG2	Dq	1	26
24	37.7141106538769	MG2	Dq	1	26
25	38.1311232754618	MG2	Dq	1	26
25	44.0146440277425	MG2	Dq	1	26
26	44.7250559484146	MG2	Dq	1	26
27	45.395826179266	MG2	Dq	1	26
28	46.030202794877	MG2	Dq	1	26
29	46.6310909879319	MG2	Dq	1	26
30	47.2010964490429	MG2	Dq	1	26
31	47.7425624810465	MG2	Dq	1	26
32	48.2576018415147	MG2	Dq	1	26
33	48.7481241407291	MG2	Dq	1	26
34	49.2158594838239	MG2	Dq	1	26
35	49.6623789310057	MG2	Dq	1	26
35	0	MG2	Dq	1	26
