Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	MG2	VC	1	11
2	0	0	MG2	VC	1	11
3	0	0	MG2	VC	1	11
4	0	0	MG2	VC	1	11
5	0	0	MG2	VC	1	11
6	0	0.0208188124467257	MG2	VC	1	11
7	0	2.98151002426263	MG2	VC	1	11
8	0	3.80255241989045	MG2	VC	1	11
9	0	6.63104554691834	MG2	VC	1	11
10	0	17.1926957486684	MG2	VC	1	11
11	0	24.0023089798735	MG2	VC	1	11
12	0	30.9106309079758	MG2	VC	1	11
13	0.0223552780894224	45.0929443225256	MG2	VC	1	11
14	0.223039583717169	60.2713595660224	MG2	VC	1	11
15	1.1690756057929	73.6718497967477	MG2	VC	1	11
16	3.17217854732467	86.4956305547667	MG2	VC	1	11
17	6.51829107224552	102.611289015102	MG2	VC	1	11
17	6.51829107224552	95.5423741355809	MG2	VC	1	11
18	16.4241831286954	109.287521081643	MG2	VC	1	11
19	24.3263400530211	122.577851093085	MG2	VC	1	11
20	34.0038137162489	136.554246644414	MG2	VC	1	11
21	45.8754039882199	154.003814026502	MG2	VC	1	11
22	58.9654423146459	171.810472794047	MG2	VC	1	11
23	72.4923338383159	189.025454037485	MG2	VC	1	11
24	86.8961364088159	206.294805292257	MG2	VC	1	11
25	101.164538045909	222.663701995285	MG2	VC	1	11
25	89.1692914488598	141.850166250485	MG2	VC	1	11
26	101.568284296349	150.760314679329	MG2	VC	1	11
27	113.866659909389	162.802316054223	MG2	VC	1	11
28	126.434491037083	175.093669505486	MG2	VC	1	11
29	138.170605126979	186.318011227593	MG2	VC	1	11
30	151.062038004843	198.822290698554	MG2	VC	1	11
31	163.646050267496	211.243236219162	MG2	VC	1	11
32	177.509286097113	224.796844896199	MG2	VC	1	11
33	189.934503019708	236.980611202644	MG2	VC	1	11
34	202.831906505449	249.45853164005	MG2	VC	1	11
35	215.020572140544	261.293838470634	MG2	VC	1	11
35	0	0	MG2	VC	1	11
