Edad	Altura.dominante	thinning	varname	zone	cal
1	0.209128591870871	M2	Hdom	0	11
2	0.578047569474065	M2	Hdom	0	11
3	1.03827997815385	M2	Hdom	0	11
4	1.56135100634195	M2	Hdom	0	11
5	2.12876078690426	M2	Hdom	0	11
6	2.72693651884799	M2	Hdom	0	11
7	3.3453857676783	M2	Hdom	0	11
8	3.97579856081533	M2	Hdom	0	11
9	4.61152512749688	M2	Hdom	0	11
10	5.24723139756053	M2	Hdom	0	11
11	5.87865066605733	M2	Hdom	0	11
12	6.50239340287545	M2	Hdom	0	11
13	7.11579569888134	M2	Hdom	0	11
14	7.71679544681445	M2	Hdom	0	11
14	7.71679544681445	M2	Hdom	0	11
15	8.30382964662251	M2	Hdom	0	11
16	8.87574849774283	M2	Hdom	0	11
17	9.43174321710176	M2	Hdom	0	11
18	9.97128528423281	M2	Hdom	0	11
19	10.4940753025121	M2	Hdom	0	11
20	11	M2	Hdom	0	11
21	11.4890961386913	M2	Hdom	0	11
22	11.9615202913734	M2	Hdom	0	11
22	11.9615202913734	M2	Hdom	0	11
23	12.4175235995466	M2	Hdom	0	11
24	12.8574307545487	M2	Hdom	0	11
25	13.2816225533446	M2	Hdom	0	11
26	13.6905214742498	M2	Hdom	0	11
27	14.0845797987202	M2	Hdom	0	11
28	14.4642698751437	M2	Hdom	0	11
29	14.8300761807722	M2	Hdom	0	11
30	15.1824888897744	M2	Hdom	0	11
30	15.1824888897744	M2	Hdom	0	11
31	15.5219986999097	M2	Hdom	0	11
32	15.8490927084781	M2	Hdom	0	11
33	16.1642511607982	M2	Hdom	0	11
34	16.467944922261	M2	Hdom	0	11
35	16.7606335486444	M2	Hdom	0	11
36	17.0427638494391	M2	Hdom	0	11
37	17.3147688559307	M2	Hdom	0	11
38	17.5770671201594	M2	Hdom	0	11
39	17.8300622830105	M2	Hdom	0	11
40	18.0741428599231	M2	Hdom	0	11
40	0	M2	Hdom	0	11
1	0.330461906307924	M2	Hdom	0	16
2	0.910732755009403	M2	Hdom	0	16
3	1.6298571646919	M2	Hdom	0	16
4	2.44080427246155	M2	Hdom	0	16
5	3.3129297651295	M2	Hdom	0	16
6	4.22393465771887	M2	Hdom	0	16
7	5.15686751265415	M2	Hdom	0	16
8	6.0986189783072	M2	Hdom	0	16
9	7.03901101833824	M2	Hdom	0	16
10	7.9701735963598	M2	Hdom	0	16
11	8.88608294903739	M2	Hdom	0	16
12	9.78220262557685	M2	Hdom	0	16
13	10.6551964909912	M2	Hdom	0	16
14	11.5026957260377	M2	Hdom	0	16
14	11.5026957260377	M2	Hdom	0	16
15	12.3231082239296	M2	Hdom	0	16
16	13.1154622064671	M2	Hdom	0	16
17	13.879277890144	M2	Hdom	0	16
18	14.614462325165	M2	Hdom	0	16
19	15.3212234386866	M2	Hdom	0	16
20	16	M2	Hdom	0	16
21	16.6514047714325	M2	Hdom	0	16
22	17.2761785572968	M2	Hdom	0	16
22	17.2761785572968	M2	Hdom	0	16
23	17.8751532381753	M2	Hdom	0	16
24	18.4492221937675	M2	Hdom	0	16
25	18.9993167843422	M2	Hdom	0	16
26	19.5263877859681	M2	Hdom	0	16
27	20.0313908641876	M2	Hdom	0	16
28	20.5152753297803	M2	Hdom	0	16
29	20.9789755532098	M2	Hdom	0	16
30	21.4234045251549	M2	Hdom	0	16
30	21.4234045251549	M2	Hdom	0	16
31	21.8494491425986	M2	Hdom	0	16
32	22.2579668762441	M2	Hdom	0	16
33	22.6497835380896	M2	Hdom	0	16
34	23.0256919199973	M2	Hdom	0	16
35	23.3864511168972	M2	Hdom	0	16
36	23.7327863834262	M2	Hdom	0	16
37	24.0653894016433	M2	Hdom	0	16
38	24.3849188610758	M2	Hdom	0	16
39	24.6920012716583	M2	Hdom	0	16
40	24.987231945891	M2	Hdom	0	16
40	0	M2	Hdom	0	16
1	0.474737837331828	M2	Hdom	0	21
2	1.30378366832342	M2	Hdom	0	21
3	2.32322024351759	M2	Hdom	0	21
4	3.46234587838465	M2	Hdom	0	21
5	4.675187318585	M2	Hdom	0	21
6	5.92877983831794	M2	Hdom	0	21
7	7.19866792577808	M2	Hdom	0	21
8	8.46654776443731	M2	Hdom	0	21
9	9.718779325587	M2	Hdom	0	21
10	10.945336160733	M2	Hdom	0	21
11	12.1390155202144	M2	Hdom	0	21
12	13.2948238305454	M2	Hdom	0	21
13	14.4094905958488	M2	Hdom	0	21
14	15.4810812073191	M2	Hdom	0	21
14	15.4810812073191	M2	Hdom	0	21
15	16.5086880469141	M2	Hdom	0	21
16	17.492184398843	M2	Hdom	0	21
17	18.4320290094001	M2	Hdom	0	21
18	19.3291115217166	M2	Hdom	0	21
19	20.1846308466101	M2	Hdom	0	21
20	21	M2	Hdom	0	21
21	21.7767721378964	M2	Hdom	0	21
22	22.5165835083257	M2	Hdom	0	21
22	22.5165835083257	M2	Hdom	0	21
23	23.2211098538465	M2	Hdom	0	21
24	23.8920334674814	M2	Hdom	0	21
