"RegimenClara","Zona","Calidad","Edad","AB","Dm","Dq","Ho","VCC20","VCC7"
"M2",0,11,1,0.00,0.00,0.00,0.21,0.00,0.00
"M2",0,11,2,0.00,0.06,0.06,0.58,0.00,0.00
"M2",0,11,3,0.02,0.43,0.45,1.04,0.00,0.00
"M2",0,11,4,0.16,1.23,1.27,1.56,0.00,0.00
"M2",0,11,5,0.57,2.33,2.40,2.13,0.00,0.00
"M2",0,11,6,1.35,3.60,3.71,2.73,0.00,0.00
"M2",0,11,7,2.54,4.94,5.08,3.35,0.00,0.44
"M2",0,11,8,4.10,6.29,6.47,3.98,0.00,3.60
"M2",0,11,9,6.00,7.61,7.82,4.61,0.00,4.60
"M2",0,11,10,8.15,8.87,9.11,5.25,0.00,9.12
"M2",0,11,11,10.51,10.08,10.35,5.88,0.00,19.45
"M2",0,11,12,13.01,11.22,11.51,6.50,0.00,26.36
"M2",0,11,13,15.62,12.29,12.61,7.12,0.00,34.61
"M2",0,11,14,18.28,13.30,13.65,7.72,0.05,49.72
"M2",0,11,14,16.34,14.08,14.42,7.72,0.05,46.25
"M2",0,11,15,18.85,15.12,15.49,8.30,0.99,59.28
"M2",0,11,16,21.38,16.11,16.50,8.88,3.01,71.19
"M2",0,11,17,23.91,17.03,17.45,9.43,6.58,86.02
"M2",0,11,18,26.42,17.91,18.34,9.97,11.70,101.13
"M2",0,11,19,28.91,18.73,19.19,10.49,18.63,115.71
"M2",0,11,20,31.37,19.51,19.98,11.00,27.73,129.93
"M2",0,11,21,33.78,20.25,20.74,11.49,38.84,146.30
"M2",0,11,22,36.15,20.95,21.45,11.96,52.13,164.95
"M2",0,11,22,29.96,22.84,23.34,11.96,52.13,139.31
"M2",0,11,23,32.04,23.62,24.14,12.42,73.67,154.25
"M2",0,11,24,34.09,24.36,24.90,12.86,88.28,169.66
"M2",0,11,25,36.10,25.07,25.62,13.28,103.37,185.63
"M2",0,11,26,38.07,25.75,26.31,13.69,119.09,202.13
"M2",0,11,27,39.99,26.39,26.97,14.08,135.73,219.13
"M2",0,11,28,41.88,27.00,27.60,14.46,151.86,235.30
"M2",0,11,29,43.72,27.59,28.20,14.83,167.92,251.48
"M2",0,11,30,45.51,28.15,28.77,15.18,184.38,267.61
"M2",0,11,30,26.47,32.90,33.52,15.18,130.31,158.91
"M2",0,11,31,27.78,33.70,34.34,15.52,139.60,168.40
"M2",0,11,32,29.06,34.47,35.12,15.85,152.03,180.28
"M2",0,11,33,30.33,35.22,35.88,16.16,163.24,191.07
"M2",0,11,34,31.57,35.94,36.60,16.47,175.05,202.39
"M2",0,11,35,32.79,36.63,37.31,16.76,187.59,214.39
"M2",0,11,36,34.00,37.30,37.99,17.04,199.15,225.60
"M2",0,11,37,35.18,37.94,38.64,17.31,210.47,236.57
"M2",0,11,38,36.34,38.56,39.27,17.58,222.83,248.54
"M2",0,11,39,37.48,39.17,39.88,17.83,235.11,260.51
"M2",0,11,40,38.60,39.75,40.48,18.07,246.76,271.77
"M2",0,11,40,0.00,0.00,0.00,0.00,0.00,0.00
"M2",0,16,1,0.00,0.00,0.00,0.33,0.00,0.00
"M2",0,16,2,0.01,0.27,0.27,0.91,0.00,0.00
"M2",0,16,3,0.16,1.28,1.30,1.63,0.00,0.00
"M2",0,16,4,0.83,2.87,2.91,2.44,0.00,0.00
"M2",0,16,5,2.27,4.73,4.81,3.31,0.00,0.00
"M2",0,16,6,4.49,6.65,6.76,4.22,0.00,4.10
"M2",0,16,7,7.37,8.51,8.66,5.16,0.00,5.45
"M2",0,16,8,10.75,10.28,10.46,6.10,0.00,22.65
"M2",0,16,9,14.47,11.92,12.14,7.04,0.00,32.33
"M2",0,16,10,18.42,13.44,13.70,7.97,0.00,50.14
"M2",0,16,11,22.48,14.84,15.13,8.89,0.24,78.06
"M2",0,16,12,26.58,16.14,16.45,9.78,2.75,99.23
"M2",0,16,13,30.67,17.33,17.68,10.66,9.35,127.00
"M2",0,16,14,34.71,18.43,18.80,11.50,19.43,155.79
"M2",0,16,14,31.37,19.61,19.98,11.50,19.43,143.12
"M2",0,16,15,35.11,20.74,21.14,12.32,44.23,164.19
"M2",0,16,16,38.77,21.79,22.22,13.12,69.15,196.91
"M2",0,16,17,42.35,22.76,23.22,13.88,96.53,229.76
"M2",0,16,18,45.83,23.67,24.16,14.61,125.64,262.10
"M2",0,16,19,49.20,24.52,25.03,15.32,155.81,294.60
"M2",0,16,20,52.47,25.32,25.85,16.00,188.20,329.44
"M2",0,16,21,55.63,26.06,26.61,16.65,221.59,364.49
"M2",0,16,22,58.68,26.76,27.33,17.28,254.45,398.20
"M2",0,16,22,49.01,29.29,29.86,17.28,243.86,336.94
"M2",0,16,23,51.72,30.08,30.67,17.88,271.74,362.12
"M2",0,16,24,54.35,30.83,31.44,18.45,303.99,394.12
"M2",0,16,25,56.90,31.54,32.17,19.00,335.87,425.56
"M2",0,16,26,59.37,32.21,32.86,19.53,367.31,456.46
"M2",0,16,27,61.76,32.85,33.52,20.03,397.77,486.28
"M2",0,16,28,64.08,33.46,34.14,20.52,429.84,517.64
"M2",0,16,29,66.32,34.03,34.73,20.98,462.22,549.54
"M2",0,16,30,68.50,34.58,35.30,21.42,492.99,579.79
"M2",0,16,30,39.68,40.32,41.04,21.42,313.77,339.96
"M2",0,16,31,41.32,41.15,41.88,21.85,326.70,354.83
