"RegimenClara","Zona","Calidad","Edad","N","Vol.comercial20","Vol.comercial7"
"M2",0,11,0,1250,,
"M2",0,11,14,1000,0,3.471
"M2",0,11,22,700,0,25.636
"M2",0,11,30,300,54.072,108.698
"M2",0,11,40,0,246.758,271.774
"M2",0,16,0,1250,,
"M2",0,16,14,1000,0,12.668
"M2",0,16,22,700,10.595,61.264
"M2",0,16,30,300,179.214,239.833
"M2",0,16,40,0,509.386,534.93
"M2",0,21,0,1250,,
"M2",0,21,14,1000,0,31.611
"M2",0,21,22,700,62.98,122.773
"M2",0,21,30,300,348.786,410.002
"M2",0,21,40,0,822.376,848.894
"M2",0,26,0,1250,,
"M2",0,26,14,1000,10.981,60.103
"M2",0,26,22,700,135.643,198.765
"M2",0,26,30,300,553.283,613.637
"M2",0,26,40,0,1191.609,1219.186
"M2",0,7,0,1250,,
"M2",0,7,14,1000,0,0.695
"M2",0,7,22,700,0,6.315
"M2",0,7,30,300,5.506,42.315
"M2",0,7,40,0,98.359,121.591
"M2",1,11,0,1250,,
"M2",1,11,14,1000,0,4.755
"M2",1,11,22,700,0,26.476
"M2",1,11,30,300,51.839,105.44
"M2",1,11,40,0,230.851,256.221
"M2",1,16,0,1250,,
"M2",1,16,14,1000,0,17.457
"M2",1,16,22,700,10.15,59.396
"M2",1,16,30,300,150.42,209.939
"M2",1,16,40,0,447.465,472.328
"M2",1,21,0,1250,,
"M2",1,21,14,1000,3.179,38.584
"M2",1,21,22,700,60.511,117.319
"M2",1,21,30,300,296.238,354.15
"M2",1,21,40,0,685.217,710.291
"M2",1,26,0,1250,,
"M2",1,26,14,1000,14.487,66.111
"M2",1,26,22,700,126.969,185.471
"M2",1,26,30,300,460.073,515.36
"M2",1,26,40,0,967.052,991.899
"M2",1,7,0,1250,,
"M2",1,7,14,1000,0,0.754
"M2",1,7,22,700,0,6.717
"M2",1,7,30,300,5.55,42.877
"M2",1,7,40,0,96.196,120.552
"M4",0,11,0,1250,,
"M4",0,11,15,700,0,13.87
"M4",0,11,25,0,112.804,193.837
"M4",0,16,0,1250,,
"M4",0,16,15,700,0,52.004
"M4",0,16,25,0,321.092,412.587
"M4",0,21,0,1250,,
"M4",0,21,15,700,18.469,108.939
"M4",0,21,25,0,659.475,748.665
"M4",0,26,0,1250,,
"M4",0,26,15,700,106.219,210.575
"M4",0,26,25,0,1064.305,1152.861
"M4",0,7,0,1250,,
"M4",0,7,15,700,0,1.852
"M4",0,7,25,0,14.455,69.71
"M4",1,11,0,1250,,
"M4",1,11,15,700,0,14.78
"M4",1,11,25,0,117.56,196.992
"M4",1,16,0,1250,,
"M4",1,16,15,700,0.795,56.324
"M4",1,16,25,0,313.566,402.004
"M4",1,21,0,1250,,
"M4",1,21,15,700,23.038,117.827
"M4",1,21,25,0,625.28,709.408
"M4",1,26,0,1250,,
"M4",1,26,15,700,126.548,231.007
"M4",1,26,25,0,981.459,1063.993
"M4",1,7,0,1250,,
"M4",1,7,15,700,0,2.415
"M4",1,7,25,0,15.094,71.024
"M8",0,11,0,1250,,
"M8",0,11,35,0,253.771,431.877
"M8",0,16,0,1250,,
"M8",0,16,35,0,679.527,881.461
"M8",0,21,0,1250,,
"M8",0,21,35,0,1250.335,1458.085
"M8",0,26,0,1250,,
"M8",0,26,35,0,1947.04,2156.127
"M8",0,7,0,1250,,
"M8",0,7,35,0,52.177,176.658
"M8",1,11,0,1250,,
"M8",1,11,35,0,231.943,410.445
"M8",1,16,0,1250,,
"M8",1,16,35,0,596.539,793.719
"M8",1,21,0,1250,,
"M8",1,21,35,0,1058.607,1256.041
"M8",1,26,0,1250,,
"M8",1,26,35,0,1591.183,1783.542
"M8",1,7,0,1250,,
"M8",1,7,35,0,48.673,175.296
"MG2",0,11,0,1250,,
"MG2",0,11,17,1000,0,6.488
"MG2",0,11,25,450,12.019,81.37
"MG2",0,11,35,0,230.557,276.294
"MG2",0,16,0,1250,,
"MG2",0,16,17,1000,0,23.634
"MG2",0,16,25,450,94.854,188.183
"MG2",0,16,35,0,490.49,538.21
"MG2",0,21,0,1250,,
"MG2",0,21,17,1000,6.237,48.882
"MG2",0,21,25,450,234.188,336.059
"MG2",0,21,35,0,855.368,902.647
"MG2",0,26,0,1250,,
"MG2",0,26,17,1000,26.863,82.701
"MG2",0,26,25,450,445.921,547.05
"MG2",0,26,35,0,1262.089,1310.595
"MG2",0,7,0,1250,,
"MG2",0,7,17,1000,0,0.868
"MG2",0,7,25,450,0,28.785
"MG2",0,7,35,0,67.455,109.484
"MG2",1,11,0,1250,,
"MG2",1,11,17,1000,0,7.069
"MG2",1,11,25,450,11.995,80.814
"MG2",1,11,35,0,215.021,261.294
"MG2",1,16,0,1250,,
"MG2",1,16,17,1000,0,25.517
"MG2",1,16,25,450,90.188,179.893
"MG2",1,16,35,0,436.698,483.235
"MG2",1,21,0,1250,,
"MG2",1,21,17,1000,7.705,51.53
"MG2",1,21,25,450,215.99,312.127
"MG2",1,21,35,0,730.716,775.584
"MG2",1,26,0,1250,,
"MG2",1,26,17,1000,36.405,90.373
"MG2",1,26,25,450,397.742,491.689
"MG2",1,26,35,0,1037.528,1081.889
"MG2",1,7,0,1250,,
"MG2",1,7,17,1000,0,0.902
"MG2",1,7,25,450,0,30.254
"MG2",1,7,35,0,65.614,109.042
