Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	1.03874838313063e-07	MG2	AB	1	11
2	0.00177707805432018	MG2	AB	1	11
3	0.0561872055023922	MG2	AB	1	11
4	0.337525003575796	MG2	AB	1	11
5	1.01978917845181	MG2	AB	1	11
6	2.16607103156357	MG2	AB	1	11
7	3.74627545112001	MG2	AB	1	11
8	5.68598929807925	MG2	AB	1	11
9	7.90034445088723	MG2	AB	1	11
10	10.3106333040527	MG2	AB	1	11
11	12.8503934366149	MG2	AB	1	11
12	15.4663115800697	MG2	AB	1	11
13	18.1169689606185	MG2	AB	1	11
14	20.7709115824766	MG2	AB	1	11
15	23.4047012848031	MG2	AB	1	11
16	26.0011980275504	MG2	AB	1	11
17	28.5481386809715	MG2	AB	1	11
17	26.284134936259	MG2	AB	1	11
18	28.663885531029	MG2	AB	1	11
19	30.9894707003821	MG2	AB	1	11
20	33.2565206149036	MG2	AB	1	11
21	35.4623388026143	MG2	AB	1	11
22	37.6055001317598	MG2	AB	1	11
23	39.6855390403271	MG2	AB	1	11
24	41.7027082399793	MG2	AB	1	11
25	43.6577922239713	MG2	AB	1	11
25	27.0208384135258	MG2	AB	1	11
26	28.5150880230632	MG2	AB	1	11
27	29.9783610885605	MG2	AB	1	11
28	31.4100353344057	MG2	AB	1	11
29	32.8097972682707	MG2	AB	1	11
30	34.1775813204319	MG2	AB	1	11
31	35.5135198753752	MG2	AB	1	11
32	36.8179022757942	MG2	AB	1	11
33	38.0911412106494	MG2	AB	1	11
34	39.333745177699	MG2	AB	1	11
35	40.546295942989	MG2	AB	1	11
35	0	MG2	AB	1	11
