Edad	Dm	thinning	varname	zone	cal
1	0.000212851956353796	MG2	Dm	0	11
2	0.0589991775632258	MG2	Dm	0	11
3	0.434744299561073	MG2	Dm	0	11
4	1.22689697959588	MG2	Dm	0	11
5	2.3266231924007	MG2	Dm	0	11
6	3.5980559411258	MG2	Dm	0	11
7	4.94024730670136	MG2	Dm	0	11
8	6.28907220473662	MG2	Dm	0	11
9	7.60688868722298	MG2	Dm	0	11
10	8.87309701925445	MG2	Dm	0	11
11	10.077579365952	MG2	Dm	0	11
12	11.216504932844	MG2	Dm	0	11
13	12.2897290334281	MG2	Dm	0	11
14	13.2991999385803	MG2	Dm	0	11
15	14.2479888655713	MG2	Dm	0	11
16	15.1397028786507	MG2	Dm	0	11
17	15.9781331183788	MG2	Dm	0	11
17	17.1589967453449	MG2	Dm	0	11
18	18.0350153653835	MG2	Dm	0	11
19	18.8613637891105	MG2	Dm	0	11
20	19.6415869430555	MG2	Dm	0	11
21	20.3790226645499	MG2	Dm	0	11
22	21.0767822675732	MG2	Dm	0	11
23	21.7377466911066	MG2	Dm	0	11
24	22.3645719447963	MG2	Dm	0	11
25	22.9596998514325	MG2	Dm	0	11
25	26.9896963200248	MG2	Dm	0	11
26	27.8153457504414	MG2	Dm	0	11
27	28.605463441488	MG2	Dm	0	11
28	29.3621085190809	MG2	Dm	0	11
29	30.0872153256645	MG2	Dm	0	11
30	30.7825966257228	MG2	Dm	0	11
31	31.4499484099749	MG2	Dm	0	11
32	32.0908556440873	MG2	Dm	0	11
33	32.7067985093127	MG2	Dm	0	11
34	33.2991588250351	MG2	Dm	0	11
35	33.8692264440864	MG2	Dm	0	11
35	0	MG2	Dm	0	11
