Edad	Dq	thinning	varname	zone	cal
1	3.8604279860325e-05	MG2	Dq	1	7
2	0.0221275546373503	MG2	Dq	1	7
3	0.210024405171077	MG2	Dq	1	7
4	0.675523538770543	MG2	Dq	1	7
5	1.38846754916026	MG2	Dq	1	7
6	2.26835288009827	MG2	Dq	1	7
7	3.24146173889022	MG2	Dq	1	7
8	4.25414895256685	MG2	Dq	1	7
9	5.2709081998939	MG2	Dq	1	7
10	6.26952432868556	MG2	Dq	1	7
11	7.23680076802364	MG2	Dq	1	7
12	8.16544923714703	MG2	Dq	1	7
13	9.05197524027882	MG2	Dq	1	7
14	9.89528078309819	MG2	Dq	1	7
15	10.6957523321492	MG2	Dq	1	7
16	11.4546689137071	MG2	Dq	1	7
17	12.1738194528038	MG2	Dq	1	7
17	12.7835832222425	MG2	Dq	1	7
18	13.5313170364636	MG2	Dq	1	7
19	14.2416402428648	MG2	Dq	1	7
20	14.916619586185	MG2	Dq	1	7
21	15.5583206083659	MG2	Dq	1	7
22	16.1687574557635	MG2	Dq	1	7
23	16.7498626610512	MG2	Dq	1	7
24	17.3034702198551	MG2	Dq	1	7
25	17.8313074617707	MG2	Dq	1	7
25	20.6763418212969	MG2	Dq	1	7
26	21.3899713969898	MG2	Dq	1	7
27	22.0755283191308	MG2	Dq	1	7
28	22.7344075126494	MG2	Dq	1	7
29	23.3679499135378	MG2	Dq	1	7
30	23.9774372585255	MG2	Dq	1	7
31	24.5640895096225	MG2	Dq	1	7
32	25.1290641449207	MG2	Dq	1	7
33	25.673456753509	MG2	Dq	1	7
34	26.1983025234851	MG2	Dq	1	7
35	26.7045783229763	MG2	Dq	1	7
35	0	MG2	Dq	1	7
