Edad	VCC20	VCC7	thinning	varname	zone	cal
1	0	0	MG2	VC	1	7
2	0	0	MG2	VC	1	7
3	0	0	MG2	VC	1	7
4	0	0	MG2	VC	1	7
5	0	0	MG2	VC	1	7
6	0	0	MG2	VC	1	7
7	0	0	MG2	VC	1	7
8	0	0.0474584623720605	MG2	VC	1	7
9	0	1.75924822659116	MG2	VC	1	7
10	0	2.53065682589287	MG2	VC	1	7
11	0	3.21738357339251	MG2	VC	1	7
12	0	4.49241605222991	MG2	VC	1	7
13	0	8.1545613882351	MG2	VC	1	7
14	0	13.0049834671004	MG2	VC	1	7
15	0	17.3905124838619	MG2	VC	1	7
16	0	21.4352619364088	MG2	VC	1	7
17	0	26.4501599737106	MG2	VC	1	7
17	0	25.5484086282921	MG2	VC	1	7
18	0.056148700891649	31.3666122649112	MG2	VC	1	7
19	0.261060143143967	38.3201367387312	MG2	VC	1	7
20	0.701423301647627	45.1157639467342	MG2	VC	1	7
21	1.45927601498286	51.6877293012285	MG2	VC	1	7
22	2.60208057113423	58.1939536232668	MG2	VC	1	7
23	4.15308778090909	65.9562505667719	MG2	VC	1	7
24	6.16044367306967	73.8250492688932	MG2	VC	1	7
25	8.72243289631953	81.5837118738724	MG2	VC	1	7
25	8.72243289631953	51.3293469159926	MG2	VC	1	7
26	16.6314658424537	54.7421698347085	MG2	VC	1	7
27	20.8873758917647	59.996405955333	MG2	VC	1	7
28	25.897247115931	66.1139538317085	MG2	VC	1	7
29	30.9719540513587	72.2011325906947	MG2	VC	1	7
30	36.5127864273878	78.4692185271191	MG2	VC	1	7
31	42.3084203898282	84.8132851957949	MG2	VC	1	7
32	47.8135965184355	90.6787621429171	MG2	VC	1	7
33	53.7288910647225	96.7666932658948	MG2	VC	1	7
34	59.3121787456783	102.416723319057	MG2	VC	1	7
35	65.6135763527337	109.042216162705	MG2	VC	1	7
35	0	0	MG2	VC	1	7
