Edad	Dm	thinning	varname	zone	cal
1	0.000212851956353796	M2	Dm	0	11
2	0.0589991775632258	M2	Dm	0	11
3	0.434744299561073	M2	Dm	0	11
4	1.22689697959588	M2	Dm	0	11
5	2.3266231924007	M2	Dm	0	11
6	3.5980559411258	M2	Dm	0	11
7	4.94024730670136	M2	Dm	0	11
8	6.28907220473662	M2	Dm	0	11
9	7.60688868722298	M2	Dm	0	11
10	8.87309701925445	M2	Dm	0	11
11	10.077579365952	M2	Dm	0	11
12	11.216504932844	M2	Dm	0	11
13	12.2897290334281	M2	Dm	0	11
14	13.2991999385803	M2	Dm	0	11
14	14.0768621578041	M2	Dm	0	11
15	15.121455046521	M2	Dm	0	11
16	16.1057035529897	M2	Dm	0	11
17	17.0332253266356	M2	Dm	0	11
18	17.9077298487297	M2	Dm	0	11
19	18.732863796588	M2	Dm	0	11
20	19.5121225430825	M2	Dm	0	11
21	20.2488031598493	M2	Dm	0	11
22	20.9459832979439	M2	Dm	0	11
22	22.8365187327105	M2	Dm	0	11
23	23.6187335382873	M2	Dm	0	11
24	24.3625783355625	M2	Dm	0	11
25	25.0705956582668	M2	Dm	0	11
26	25.7451480244321	M2	Dm	0	11
27	26.3884251183376	M2	Dm	0	11
28	27.0024531325611	M2	Dm	0	11
29	27.5891051772774	M2	Dm	0	11
30	28.1501120474332	M2	Dm	0	11
30	32.8980903683652	M2	Dm	0	11
31	33.7008162446269	M2	Dm	0	11
32	34.4737325426398	M2	Dm	0	11
33	35.2183567391404	M2	Dm	0	11
34	35.9361217372528	M2	Dm	0	11
35	36.6283788995642	M2	Dm	0	11
36	37.2964015795292	M2	Dm	0	11
37	37.9413889345113	M2	Dm	0	11
38	38.5644698650151	M2	Dm	0	11
39	39.1667069698404	M2	Dm	0	11
40	39.749100440204	M2	Dm	0	11
40	0	M2	Dm	0	11
1	0.00328521330805359	M2	Dm	0	16
2	0.26867694740388	M2	Dm	0	16
3	1.27798717832723	M2	Dm	0	16
4	2.87159927852685	M2	Dm	0	16
5	4.73101439182436	M2	Dm	0	16
6	6.64765873434531	M2	Dm	0	16
7	8.51282867783241	M2	Dm	0	16
8	10.276649902272	M2	Dm	0	16
9	11.9204141726117	M2	Dm	0	16
10	13.4411789293886	M2	Dm	0	16
11	14.8436123624529	M2	Dm	0	16
12	16.1357432846716	M2	Dm	0	16
13	17.3267706422558	M2	Dm	0	16
14	18.4259580352873	M2	Dm	0	16
14	19.6073488298712	M2	Dm	0	16
15	20.7381748588429	M2	Dm	0	16
16	21.7880504105973	M2	Dm	0	16
17	22.7645363034608	M2	Dm	0	16
18	23.6744866731213	M2	Dm	0	16
19	24.5240675514907	M2	Dm	0	16
