Edad	Dq	thinning	varname	zone	cal
1	0.000223706191110429	M2	Dq	0	11
2	0.061663617060433	M2	Dq	0	11
3	0.451552756415796	M2	Dq	0	11
4	1.26938970459697	M2	Dq	0	11
5	2.40117058430328	M2	Dq	0	11
6	3.70702389876494	M2	Dq	0	11
7	5.0837647088079	M2	Dq	0	11
8	6.46617100404325	M2	Dq	0	11
9	7.81612538595453	M2	Dq	0	11
10	9.11287089344344	M2	Dq	0	11
11	10.3462884174152	M2	Dq	0	11
12	11.5126176263366	M2	Dq	0	11
13	12.6118130672407	M2	Dq	0	11
14	13.6459295664585	M2	Dq	0	11
14	14.4235917856822	M2	Dq	0	11
15	15.4916081335396	M2	Dq	0	11
16	16.4981541465881	M2	Dq	0	11
17	17.4469346904817	M2	Dq	0	11
18	18.3417374157979	M2	Dq	0	11
19	19.1862787140316	M2	Dq	0	11
20	19.98411607361	M2	Dq	0	11
21	20.7386019972472	M2	Dq	0	11
22	21.4528637546034	M2	Dq	0	11
22	23.3433991893701	M2	Dq	0	11
23	24.1420165196933	M2	Dq	0	11
24	24.9016250033753	M2	Dq	0	11
25	25.6248036850602	M2	Dq	0	11
26	26.3139483513465	M2	Dq	0	11
27	26.9712791376319	M2	Dq	0	11
28	27.5988502281112	M2	Dq	0	11
29	28.1985605664323	M2	Dq	0	11
30	28.7721648768528	M2	Dq	0	11
30	33.5201431977848	M2	Dq	0	11
31	34.3350279006772	M2	Dq	0	11
32	35.1196851436474	M2	Dq	0	11
33	35.8756517824359	M2	Dq	0	11
34	36.6043788785906	M2	Dq	0	11
35	37.3072348463511	M2	Dq	0	11
36	37.9855090824476	M2	Dq	0	11
37	38.6404158647121	M2	Dq	0	11
38	39.2730983661702	M2	Dq	0	11
39	39.8846326760817	M2	Dq	0	11
40	40.4760317523942	M2	Dq	0	11
40	0	M2	Dq	0	11
1	0.00329609683238945	M2	Dq	0	16
2	0.271361147193142	M2	Dq	0	16
3	1.29501793751775	M2	Dq	0	16
4	2.91493015840004	M2	Dq	0	16
5	4.80754841956985	M2	Dq	0	16
6	6.76031059693667	M2	Dq	0	16
7	8.66223794596056	M2	Dq	0	16
8	10.4622984961396	M2	Dq	0	16
9	12.1412413963212	M2	Dq	0	16
10	13.6959009498105	M2	Dq	0	16
11	15.1308828600402	M2	Dq	0	16
12	16.454231242717	M2	Dq	0	16
13	17.6751954954493	M2	Dq	0	16
14	18.8031031945067	M2	Dq	0	16
14	19.9844939890906	M2	Dq	0	16
15	21.1428905591145	M2	Dq	0	16
16	22.2192515640558	M2	Dq	0	16
17	23.2211982767749	M2	Dq	0	16
18	24.1556404549108	M2	Dq	0	16
19	25.0287950107327	M2	Dq	0	16
20	25.8462318587283	M2	Dq	0	16
21	26.6129309732357	M2	Dq	0	16
22	27.3333420015206	M2	Dq	0	16
22	29.8568010916872	M2	Dq	0	16
23	30.6718036078645	M2	Dq	0	16
24	31.4420203084708	M2	Dq	0	16
25	32.1709547422146	M2	Dq	0	16
26	32.8617750914854	M2	Dq	0	16
27	33.5173490202181	M2	Dq	0	16
28	34.1402753130332	M2	Dq	0	16
29	34.7329123302122	M2	Dq	0	16
30	35.2974034414777	M2	Dq	0	16
30	41.0390058359118	M2	Dq	0	16
31	41.8758597999289	M2	Dq	0	16
32	42.6786804871693	M2	Dq	0	16
33	43.4494429224789	M2	Dq	0	16
34	44.1899825419136	M2	Dq	0	16
35	44.9020056309081	M2	Dq	0	16
36	45.5870991632321	M2	Dq	0	16
37	46.2467399995333	M2	Dq	0	16
38	46.8823034359247	M2	Dq	0	16
39	47.4950711137616	M2	Dq	0	16
40	48.0862383148467	M2	Dq	0	16
40	0	M2	Dq	0	16
1	0.0222328927546054	M2	Dq	0	21
2	0.777422902453171	M2	Dq	0	21
3	2.73915426906748	M2	Dq	0	21
4	5.26699396273376	M2	Dq	0	21
5	7.88265221288356	M2	Dq	0	21
6	10.374666278489	M2	Dq	0	21
7	12.6688065198595	M2	Dq	0	21
8	14.7507370672929	M2	Dq	0	21
9	16.6303432801815	M2	Dq	0	21
10	18.3260898204437	M2	Dq	0	21
11	19.8583097832826	M2	Dq	0	21
12	21.2464457562171	M2	Dq	0	21
13	22.5080426301617	M2	Dq	0	21
14	23.6585092459554	M2	Dq	0	21
14	25.0842580117491	M2	Dq	0	21
15	26.2637034653882	M2	Dq	0	21
16	27.3489653227036	M2	Dq	0	21
17	28.3505014504854	M2	Dq	0	21
18	29.2773909376286	M2	Dq	0	21
19	30.13752109269	M2	Dq	0	21
20	30.9377560564998	M2	Dq	0	21
21	31.6840841451113	M2	Dq	0	21
22	32.3817444261904	M2	Dq	0	21
22	35.1502895740968	M2	Dq	0	21
