Edad	Pies_ha	thinning	varname	zone	cal
0	1250	M2	Itinerario	0	11
14	1000	M2	Itinerario	0	11
22	700	M2	Itinerario	0	11
30	300	M2	Itinerario	0	11
40	0	M2	Itinerario	0	11
0	1250	M2	Itinerario	0	16
14	1000	M2	Itinerario	0	16
22	700	M2	Itinerario	0	16
30	300	M2	Itinerario	0	16
40	0	M2	Itinerario	0	16
0	1250	M2	Itinerario	0	21
14	1000	M2	Itinerario	0	21
22	700	M2	Itinerario	0	21
30	300	M2	Itinerario	0	21
40	0	M2	Itinerario	0	21
0	1250	M2	Itinerario	0	26
14	1000	M2	Itinerario	0	26
22	700	M2	Itinerario	0	26
30	300	M2	Itinerario	0	26
40	0	M2	Itinerario	0	26
0	1250	M2	Itinerario	0	7
14	1000	M2	Itinerario	0	7
22	700	M2	Itinerario	0	7
30	300	M2	Itinerario	0	7
40	0	M2	Itinerario	0	7
0	1250	M2	Itinerario	1	11
14	1000	M2	Itinerario	1	11
22	700	M2	Itinerario	1	11
30	300	M2	Itinerario	1	11
40	0	M2	Itinerario	1	11
0	1250	M2	Itinerario	1	16
14	1000	M2	Itinerario	1	16
22	700	M2	Itinerario	1	16
30	300	M2	Itinerario	1	16
40	0	M2	Itinerario	1	16
0	1250	M2	Itinerario	1	21
14	1000	M2	Itinerario	1	21
22	700	M2	Itinerario	1	21
30	300	M2	Itinerario	1	21
40	0	M2	Itinerario	1	21
0	1250	M2	Itinerario	1	26
14	1000	M2	Itinerario	1	26
22	700	M2	Itinerario	1	26
30	300	M2	Itinerario	1	26
40	0	M2	Itinerario	1	26
0	1250	M2	Itinerario	1	7
14	1000	M2	Itinerario	1	7
22	700	M2	Itinerario	1	7
30	300	M2	Itinerario	1	7
40	0	M2	Itinerario	1	7
0	1250	M4	Itinerario	0	11
15	700	M4	Itinerario	0	11
25	0	M4	Itinerario	0	11
0	1250	M4	Itinerario	0	16
15	700	M4	Itinerario	0	16
25	0	M4	Itinerario	0	16
0	1250	M4	Itinerario	0	21
15	700	M4	Itinerario	0	21
25	0	M4	Itinerario	0	21
0	1250	M4	Itinerario	0	26
15	700	M4	Itinerario	0	26
25	0	M4	Itinerario	0	26
0	1250	M4	Itinerario	0	7
15	700	M4	Itinerario	0	7
25	0	M4	Itinerario	0	7
0	1250	M4	Itinerario	1	11
15	700	M4	Itinerario	1	11
25	0	M4	Itinerario	1	11
0	1250	M4	Itinerario	1	16
15	700	M4	Itinerario	1	16
25	0	M4	Itinerario	1	16
0	1250	M4	Itinerario	1	21
15	700	M4	Itinerario	1	21
25	0	M4	Itinerario	1	21
0	1250	M4	Itinerario	1	26
15	700	M4	Itinerario	1	26
25	0	M4	Itinerario	1	26
0	1250	M4	Itinerario	1	7
15	700	M4	Itinerario	1	7
25	0	M4	Itinerario	1	7
0	1250	M8	Itinerario	0	11
35	0	M8	Itinerario	0	11
0	1250	M8	Itinerario	0	16
35	0	M8	Itinerario	0	16
0	1250	M8	Itinerario	0	21
35	0	M8	Itinerario	0	21
0	1250	M8	Itinerario	0	26
35	0	M8	Itinerario	0	26
0	1250	M8	Itinerario	0	7
35	0	M8	Itinerario	0	7
0	1250	M8	Itinerario	1	11
35	0	M8	Itinerario	1	11
0	1250	M8	Itinerario	1	16
35	0	M8	Itinerario	1	16
0	1250	M8	Itinerario	1	21
35	0	M8	Itinerario	1	21
0	1250	M8	Itinerario	1	26
35	0	M8	Itinerario	1	26
0	1250	M8	Itinerario	1	7
35	0	M8	Itinerario	1	7
0	1250	MG2	Itinerario	0	11
17	1000	MG2	Itinerario	0	11
25	450	MG2	Itinerario	0	11
35	0	MG2	Itinerario	0	11
0	1250	MG2	Itinerario	0	16
17	1000	MG2	Itinerario	0	16
25	450	MG2	Itinerario	0	16
35	0	MG2	Itinerario	0	16
0	1250	MG2	Itinerario	0	21
17	1000	MG2	Itinerario	0	21
25	450	MG2	Itinerario	0	21
35	0	MG2	Itinerario	0	21
0	1250	MG2	Itinerario	0	26
17	1000	MG2	Itinerario	0	26
25	450	MG2	Itinerario	0	26
35	0	MG2	Itinerario	0	26
0	1250	MG2	Itinerario	0	7
17	1000	MG2	Itinerario	0	7
25	450	MG2	Itinerario	0	7
35	0	MG2	Itinerario	0	7
0	1250	MG2	Itinerario	1	11
17	1000	MG2	Itinerario	1	11
25	450	MG2	Itinerario	1	11
35	0	MG2	Itinerario	1	11
0	1250	MG2	Itinerario	1	16
17	1000	MG2	Itinerario	1	16
25	450	MG2	Itinerario	1	16
35	0	MG2	Itinerario	1	16
0	1250	MG2	Itinerario	1	21
17	1000	MG2	Itinerario	1	21
25	450	MG2	Itinerario	1	21
35	0	MG2	Itinerario	1	21
0	1250	MG2	Itinerario	1	26
17	1000	MG2	Itinerario	1	26
25	450	MG2	Itinerario	1	26
35	0	MG2	Itinerario	1	26
0	1250	MG2	Itinerario	1	7
17	1000	MG2	Itinerario	1	7
25	450	MG2	Itinerario	1	7
35	0	MG2	Itinerario	1	7
